,,,,,,,,
,Schedule Maker,,,,,,,
,,,,,,,,
,:45,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep
,3:00 AM,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep
,:15,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep
,:30,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep
,:45,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep
,4:00 AM,Wakeup,Wakeup,Wakeup,Wakeup,Wakeup,Wakeup,Wakeup
,:15,Tidy Bedroom,Tidy Bedroom,Tidy Bedroom,Tidy Bedroom,Tidy Bedroom,Tidy Bedroom,Tidy Bedroom
,:30,Shower/Ablution,Shower/Ablution,Shower/Ablution,Shower/Ablution,Shower/Ablution,Shower/Ablution,Shower/Ablution
,:45,Fajr,Fajr,Fajr,Fajr,Fajr,Fajr,Fajr
,5:00 AM,Morning adhkar,Morning adhkar,Morning adhkar,Morning adhkar,Morning adhkar,Morning adhkar,Morning adhkar
,:15,Intent setting,Intent setting,Intent setting,Intent setting,Intent setting,Intent setting,Intent setting
,:30,Daily planning,Daily planning,Daily planning,Daily planning,Daily planning,Daily planning,Daily planning
,:45,FM,ENT,HCI,SPM,ML,SQE,ML
